Industry	Surveys Sent Out (Workforce Size<250)	Surveys Sent Out (Workforce Size 250+)	Surveys Sent Out (Total)	Number of Responses (Workforce Size<250)	Number of Reponses (Workforce Size 250+)	Number of Responses (Total)	Proportion of Responses (Workforce Size <250)	Proportion of Responses (Workforce Size 250+)	Proportion of Responses (Total)	Trading status: Continuing to trade	Trading status: Has permanently ceased trading	Trading status: Has temporarily closed or temporarily paused trading	Applied for: Coronavirus Job Retention Scheme	Applied for: Business rates holiday	Applied for: Deferring VAT payments	Applied for: HMRC Time To Pay scheme	Applied for: Government-funded small grant or loan schemes	Applied for: Accredited finance agreements	Applied for: We have not applied for any of these initiatives	Received: Coronavirus Job Retention Scheme	Received: Buiness rates holiday	Received: Deferring VAT payments	Received: HMRC Time To Pay scheme	Received: Government-funded small business grant or loan schemes	Received: Accredited finance agreements	Received: We haven't received any that we applied for	Will apply for: Coronavirus Job Retention Scheme	Will apply for: Business rates holiday	Will apply for: Deferring VAT payments	Will apply for HMRC Time To Pay scheme	Will apply for: Government-funded small business grant or loan schemes	Will apply for: Accredited fiance agreements	Will apply for: None of the above
Mining And Quarrying	15	13	28																														
Manufacturing	1785	1370	3155	648	449	1097	0.363	0.328	0.348	0.79	0.004	0.206	0.635	0.14	0.443	0.193	0.048	0.086	0.26	0.199	0.079	0.33	0.147	0.026	0.013	0.237	0.383	0.081	0.167	0.092	0.028	0.066	0.481
Water Supply, Sewerage, Waste Management And Remediation Activities	130	71	201	50	20	70	0.385	0.282	0.348	0.9	0	0.1	0.686	0.157	0.571	0.214	0.057	0.1	0.214	0.286	0.043	0.371	0.157	0.014	0.043	0.243	0.386	0.071	0.229	0.143	0.029	0.071	0.457
Construction	722	312	1034	208	76	284	0.288	0.244	0.275	0.732	0.007	0.261	0.809	0.135	0.599	0.287	0.06	0.096	0.117	0.291	0.057	0.443	0.234	0.021	0.018	0.27	0.429	0.032	0.174	0.096	0.05	0.11	0.422
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles	1819	1180	2999	686	344	1030	0.377	0.292	0.343	0.752	0.005	0.243	0.726	0.446	0.601	0.25	0.133	0.09	0.155	0.239	0.334	0.469	0.183	0.091	0.015	0.16	0.321	0.093	0.158	0.076	0.042	0.083	0.538
Accommodation And Food Service Activities	975	659	1634	321	195	516	0.329	0.296	0.316	0.182	0.012	0.806	0.871	0.782	0.806	0.422	0.249	0.206	0.027	0.251	0.633	0.596	0.306	0.178	0.035	0.129	0.404	0.18	0.235	0.137	0.061	0.122	0.398
Transportation And Storage	528	335	863	193	89	282	0.366	0.266	0.327	0.915	0	0.085	0.766	0.241	0.553	0.248	0.064	0.092	0.167	0.287	0.145	0.44	0.188	0.025	0.025	0.184	0.355	0.096	0.199	0.078	0.021	0.074	0.489
Information And Communication	794	422	1216	297	121	418	0.374	0.287	0.344	0.95	0.005	0.045	0.401	0.082	0.474	0.137	0.036	0.038	0.373	0.154	0.031	0.397	0.106	0.017	0.01	0.127	0.26	0.07	0.163	0.067	0.029	0.05	0.587
Real Estate Activities	112	88	200																														
Professional, Scientific And Technical Activities	1303	720	2023	468	265	733	0.359	0.368	0.362	0.967	0.003	0.03	0.622	0.126	0.662	0.186	0.049	0.081	0.207	0.216	0.078	0.518	0.146	0.022	0.023	0.176	0.35	0.073	0.228	0.083	0.023	0.074	0.503
Administrative And Support Service Activities	1287	1072	2359	453	361	814	0.352	0.337	0.345	0.915	0.004	0.081	0.757	0.201	0.637	0.205	0.218	0.123	0.139	0.28	0.12	0.469	0.147	0.144	0.017	0.206	0.401	0.089	0.227	0.102	0.063	0.09	0.45
Education	303	457	760	127	191	318	0.419	0.418	0.418	0.868	0.006	0.126	0.405	0.085	0.263	0.07	0.022	0.028	0.484	0.098	0.038	0.184	0.057	0	0	0.228	0.459	0.098	0.174	0.022	0	0.066	0.421
Human Health And Social Work Activities	145	149	294	85	59	144	0.586	0.396	0.49	0.938	0.013	0.049	0.345	0.134	0.162	0.063	0.106	0.028	0.556	0.085	0.092	0.155	0.042	0.07	0	0.141	0.31	0.042	0.099	0.056	0.035	0.014	0.585
Arts, Entertainment And Recreation	415	303	718	180	98	278	0.434	0.323	0.387	0.205	0	0.795	0.763	0.572	0.612	0.331	0.18	0.183	0	0.219	0.45	0.435	0.255	0.108	0.043	0.176	0.41	0.122	0.212	0.104	0.058	0.108	0.392
Other Service Activities	108	29	137																														
All Industries	10442	7181	17623	3809	2305	6114	0.365	0.321	0.347	0.767	0.005	0.228	0.672	0.274	0.564	0.223	0.112	0.099	0.207	0.222	0.191	0.427	0.168	0.07	0.018	0.189	0.368	0.091	0.19	0.088	0.039	0.08	0.482
